LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
LB-99230,"STATE ROOM, INC.",BAY TOWER ROOM,,Two entrances exits to Market Sq. Emergency exit to garage of 60 State St.; Three lounge areas  including bar  Five dining areas  including greenhouse  separate capacity  Entire 33rd floor. additional 6 private and public dining rooms.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,835,"STATE ROOM, INC.",NULL,60,,  State ST,Boston,MA,2109,"(42.35927, -71.05643)"
LB-101581,"MONDAY AFTERNOON, INC.",BEACON HILL PUB,Go to document #00010L on reverse side,Rear exit to alley; in two rooms and kitchen on first floor; cellar for stock.  149A CHARLES STREET  BOSTON  MA  02114,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,GOPAL,GOP All Alc.,NULL,2:00 AM,2:30 AM,268,"MONDAY AFTERNOON, INC.",NULL,149,,  Charles ST,Boston,MA,2114,"(42.360479, -71.070569)"
LB-99273,"BOSWORTH PLACE, INC.",BEANTOWN PUB,,Enlarge licensed premises by approximately 584 S.F (to recapture portion of premises previously sublet to retail coin shop)  increase occupancy from 249 to 275 persons; new space to be occupied by Ziggy's Coffee Bar with separate main entry by day and as additional seating for Beantown Pub by night;,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,249,"BOSWORTH PLACE, INC.",NULL,100,,  Tremont ST,Boston,MA,2108,"(42.357232, -71.060979)"
LB-99285,"WHEELING'S BAR, LLC",BEEHIVE,PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) PATIO TO BE STAFFED AT ALL TIMES 3.) 11:00 P.M. CLOSING,IN ONE ROOM ON THE 1ST FLOOR WITH BAR; IN ONE LARGE ROOM IN BASEMENT WITH  KITCHEN  STORAGE AREA & OFFICE & TO INCLUDE 1 OUTDOOR SEASONAL PATIO IN FRONT OF PREMISES FROM APRIL THROUGH OCTOBER FOR 80 PATRONS.  Capacity breakdown: mazzanine - 68 (44 seated  24 standing); lower level - 292 (80 seated ,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,360,"WHEELING'S BAR, LLC",NULL,541,, Tremont St,Boston,MA,2116,"(0.0, 0.0)"
LB-99068,SLESAR BROTHERS BREWING COMPANY,BEER WORKS,NONE,APPROXIMATELY 16 000 SQ. FT. BREW PUB WITH FULL SERVICE RESTAURANT AND MICRO-BREWERY ON THE 1ST AND 2ND FLOORS INCLUDING AN OUTDOOR PATIO.  INCLUDING 2 ENTRANCES  2 EMERGENCY EXITS  LOCATED AT 110 CANAL STREET; BOSTON  MA 02114.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,595,SLESAR BROS. BREWING COMPANY,(617)896-2300,112,, Canal St,Boston,MA,2114,"(0.0, 0.0)"
LB-99014,Bella Arianna LLC,Bel Ari Italian Modern,NONE,In one room on the first floor  kitchen and storage in the rear.  Total sq. foot:  5 000.  Number of entrances: 3,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,160,BELLA ARIANNA LLC,NULL,107,,  South ST,Boston,MA,2111,"(42.351401, -71.05752)"
LB-99264,OLD COLONIAL CORPORATION,BELL IN HAND,,Unnumbered entrance and exit on Marshall Street; in three rooms and kitchen on the first floor; cellar for stock and one large room on the second floor.  Capacity breakdown: 1st fl - 296; 2nd fl - 200.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,496,OLD COLONIAL CORPORATION,NULL,45,55,  Union ST,Boston,MA,2108,"(42.3616, -71.05706)"
LB-99436,"BELLA LUNA RESTAURANT, INC.",BELLA LUNA REST/MILKY WAY LOUNGE & LANES,NO SERVICE OF ALCOHOL IN BOWLING AREA IF CHILDREN ARE PRESENT.,IN TWO ROOMS ON FIRST FLOOR WITH KITCHEN & STORAGE IN REAR LEFT OF PREMISES; TWO ENTRANCES ON AMORY STREET & THREE EMERGENCY EXITS AND TO INCLUDE SEASONAL OUTDOOR DINING FROM APRIL - OCTOBER FOR 60 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 10:00 A.M. - 11:00 P.M.  Capacity breakdown - 150 sea,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,200,"BELLA LUNA RESTAURANT, INC.",NULL,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637, -71.104489)"
LB-99762,"111 SALEM GROUP, INC.",BENEVENTO'S,CLOSING HOUR: 1.) MIDNIGHT: FRIDAY AND SATURDAY  2.) 11:00 P.M.: SUNDAY - THURSDAY,IN ONE ROOM ON FIRST FLOOR; KITCHEN IN THE REAR  STORAGE  PREP AREA IN BASEMENT; WITH THE OFFICE ON THE SECOND FLOOR.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:00 PM,11:30 PM,40,"111 SALEM GROUP, INC.",NULL,111,,  Salem ST,Boston,MA,2113,"(0.0, 0.0)"
LB-99231,BERTUCCI'S RESTAURANT CORP.,BERTUCCI'S BRICK OVEN RISTORANTE,NONE,IN ONE LARGE ROOM ON GROUND FLOOR; KITCHEN AND STORAGE IN THE REAR WITH ONE SMALL BAR.  533 COMMONWEALTH AVENUE  BOSTON  MA  02215,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,MIDNIGHT,12:30 AM,219,BERTUCCI'S RESTAURANT CORP.,NULL,533,,  Commonwealth AV,Boston,MA,2215,"(42.34923, -71.09661)"
LB-99232,BERTUCCI'S  RESTAURANT CORP.,BERTUCCI'S BRICK OVEN RISTORANTE,Pledges of stock and license with x,679-683 VFW Parkway  in one room with an outside patio on the first floor with a rear room for kitchen and storage also storage in basemet with an enlarged existing kitchen and prep area in additional space previously numbered 679 V.F.W.Parkway.  Capacity breakdown: 219 inside; 28 outside.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,MIDNIGHT,12:30 AM,219,BERTUCCI'S  RESTAURANT CORP.,NULL,683,,  VFW PW,Boston,MA,2467,"(0.0, 0.0)"
LB-99769,BERTUCCI'S RESTAURANT CORP.,BERTUCCI'S BRICK OVEN RISTORANTE,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR  WITH ONE SERVICE BAR WITH TWELVE SEATS.  ONE BLACKFAN CIRCLE  BOSTON  MA  02115,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,MIDNIGHT,12:30 AM,178,BERTUCCI'S RESTAURANT CORP.,NULL,1,,  Blackfan CI,Boston,MA,2115,"(42.338384, -71.104894)"
LB-99772,BERTUCCI'S RESTAURANT CORP.,BERTUCCI'S BRICK OVEN RISTORANTE,FOOD UNTIL 3:00 A.M.  ALL PATRONS OUT BY 3:30 A.M.,REAR ENTRANCE FOR STOCK; IN TWO ROOMS AND KITCHEN ON FIRST FLOOR; CELLAR FOR STOCK.,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,210,BERTUCCI'S RESTAURANT CORP.,NULL,22,, Merchants Ro,Boston,MA,2109,"(0.0, 0.0)"
LB-99407,"UVM.,INC.",BIDDY EARLY'S,,REAR EMERGENCY EXIT; IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR  CELLAR FOR STOCK.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,57,"UVM.,INC.",NULL,141,,  Pearl ST,Boston,MA,2110,"(0.0, 0.0)"
LB-99797,"FUENTE CLEANING SERVICES, INC.",BILLARES COLOMBIA,THE BOARD ALLOWS BOTTLE SERVICE ON THE PREMISES.,IN ONE ROOM ON GROUND FLOOR FOR BILLIARDS  WITH FOOD PREPARATION AND SERVING COUNTER IN FRONT; MAIN ENTRANCE ON BENNINGTON STREET; AND EMERGENCY EXIT IN REAR; CELLAR FOR STOCK AND OFFICE.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,2:00 AM,2:30 AM,49,"FUENTE CLEANING SERVICES, INC.",NULL,28,, Bennington St,East Boston,MA,2128,"(0.0, 0.0)"
LB-99448,"CONCORDE ENTERTAINMENT, INC.",BILL'S BAR/THE LANSDOWNE PUB,ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.  PATIO CONDITIONS:  ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD; TO BE STAFFED AT ALL TIMES.,IN TWO ROOMS  ENTRANCEWAY AND OFFICE  ON THE FIRST FLOOR; WITH  ADDITIONAL ENTRANCE AND EXIT FOR PATRONS AND DELIVERIES TO DRIVEWAY IMMEDIATELY ADJACENT TO THE PREMSIES AND TO INCLUDE AN OUTDOOR PATIO FOR 74 PATRONS BETWEEN THE HOURS OF 8:00 A.M. - 2:00 A.M.  DPW LAND.  CAPACITY BREAKDOWN: BILL'S BA,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,907,"CONCORDE ENTERTAINMENT, INC.",NULL,9,,  Lansdowne ST,Boston,MA,2215,"(42.347341, -71.095081)"
LB-99397,"CUISINE DE ASIA, INC.",BILLY TSE RESTAURANT,,IN TWO ROOMS ON THE FIRST FLOOR  BASEMENT FOR STOCK; AND TO INCLUDE A SEASONAL SIDEWALK CAFE FOR 20 PATRONS ON PUBLIC PROPERTY BETWEEN THE HOURS OF 11:00 A.M. - MIDNIGHT,11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,MIDNIGHT,12:30 AM,90,"CUISINE DE ASIA, INC.",NULL,240,,  Commercial ST,Boston,MA,2109,"(0.0, 0.0)"
LB-99570,"BEACON HILL HOSPITALITY GROUP, INC.",BIN 26 ENOTECA,AS PER AGREEMENT BETWEEN LICENSEE AND BEACON HILL CIVIC ASSOCIATION  1.) PREMISES SHALL HAVE A CAPACITY OF NO GREATER THAN 64 PERSONS  WITH A DINING COUNTER FOR NO MORE THAN 13 SEATED (AND NO STANDING) PATRONS.  2.) PATRONS SHALL VACATE THE PREMISES NO LATER THAN MIDNIGHT.  3.) ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR AND STORAGE IN THE BASEMENT.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,MIDNIGHT,12:30 AM,64,"BEACON HILL HOSPITALITY GROUP, INC.",NULL,20,26,  Charles ST,Boston,MA,2114,"(42.35664, -71.06994)"
LB-139871, ,CABANA GRILL,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.1 POOL TABLE.,In one room and kitchen on the first floor; one room and kitchen on the second floor; cellar for stock.,02/05/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,87,"Cabana Restaurant, LLC",NULL,254,, Bennington St,East Boston,MA,2128,"(0.0, 0.0)"
LB-99485,"BUDGIE'S BOY'S, INC.",BIRCH STREET BISTRO,NONE,14B BIRCH STREET  ROSLINDALE  MA. 02131. IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE BASEMENT ALSO TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL THROUGH OCTOBER FOR 38 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALR,CV7 All Alc. Restrict.,NULL,MIDNIGHT,12:30 AM,118,"BUDGIE'S BOY'S, INC.",NULL,,,  Birch ST,Roslindale,MA,2131,"(0.0, 0.0)"
LB-99197,"HM BOSTON, LLC",BISTRO du MIDI,PATIO CONDITIONS: 1.) 11:00 P.M. CLOSING HOUR  2.) ALCOHOL SERVICE ONLY IN CONJUNCTION WITH FOOD.,272 BOYLSTON STREET; IN ONE ROOM ON THE 1ST FLOOR; 1 ROOM AND KITCHEN ON THE 2ND FLOOR AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 4 PATRONS.  DPW LAND.  Capacity breakdown: 1st fl - 43 seated  36 standing; 2nd fl - 116 seated  13 standing.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,208,"HM BOSTON, LLC",NULL,272,,  Boylston ST,Boston,MA,2116,"(42.351859, -71.069669)"
LB-99225,"THE BLACK ROSE, INC.",BLACK ROSE,1. OPEN AT 11:00 A.M. ON SUNDAYS FOR THE SERVICE OF FOOD ONLY.,In one room and kitchen on first floor; cellar for stock and one room and a kitchen on the second floor.  Capacity breakdown: 1st fl - 74 seated  119 standing; 2nd fl - 81 seated; 139 standing.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,413,"THE BLACK ROSE, INC.",NULL,160,, State St,Boston,MA,2109,"(0.0, 0.0)"
LB-99406,CHELSEA CITY SQUARE CORP.,BLACKMOOR TAVERN,NONE,FOUR ROOMS ON FIRST FLOOR; KITCHEN IN THE REAR  BASEMENT FOR STORAGE AND TO INCLUDE AN OUTSIDE SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 44 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,214,CHELSEA CITY SQUARE CORP.,(617)212-3580,1,,  Chelsea ST,Charlestown,MA,2129,"(42.3712, -71.061707)"
LB-99755,"J & K BLASI, INC.",BLASI CAFÉ,1.) ALCOHOLIC  BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,IN ONE ROOM  ON THE FIRST FLOOR; KITCHEN IN THE REAR AND STORAGE IN THE BASEMENT.  Capacity breakdown: 70 seated  30 standing.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,MIDNIGHT,12:30 AM,100,"J & K BLASI, INC.",NULL,762,, Adams St,Dorchester,MA,2122,"(0.0, 0.0)"
LB-99017,"BLEACHER BAR, LLC",BLEACHER BAR,NONE,IN ONE LARGE ROOM WITH KITCHEN & STORAGE ON STREET LEVEL REAR; ENTRANCE AND EXITS ON LANSDOWNE STREET; SEASONAL OUTDOOR DINING FOR APPROXIMATELY 60 PATRONS ON PRIVATE PROPERTY. ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,198,"BLEACHER BAR, LLC",NULL,,, Lansdowne St,Boston,MA,2215,"(0.0, 0.0)"
LB-98900,"EQUINOX SC BOSTON, INC.",blu,Capacity breakdown: cafe - 69; bar - 15; lounge dining - 24; dining - 60.,FLOOR 4 AND 4 MEZZANINE WITH A MAIN ENTRANCE ON AVERY STREET AND INCLUDING BAR  RESTAURANT AND CAFE.  Management agreement between Equinox SC Boston  Inc. and Avery Food Corp. (Manager) Approved by BLB and ABCC.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,168,"EQUINOX SC BOSTON, INC.",NULL,4,, Avery St,Boston,MA,2111,"(42.35307, -71.06292)"
LB-99388,"WATER DRAGON, LLC",BLUE DRAGON,PATIO CLOSING: 10:00 P.M. SUNDAY - WEDNESDAY  11:00 P.M. THURSDAY - SATURDAY.,A ONE STORY BUILDING LOCATED AT THE CORNER OF A STREET AND MELCHER STREET KNOWN AS 324 A STREET CONSISTING OF 2 090 SQ FT OF FLOOR AREA W/ DINING AREAS  A BAR  SIDEWALK SEATING FOR 16  KITCHEN  TWO BATHROOMS  A BASEMENT AREA FOR STORAGE AND PREP  AND TWO ENTRANCES/EXITS  ONE ON TO/FROM MELCHER STREE,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,99,"WATER DRAGON, LLC",NULL,324,, A St,Boston,MA,2210,"(42.349391, -71.049735)"
LB-99678,MARATHON FOOD LLC,BLUE NILE RESTAURANT,NONE,THE BUILDING SHARES A COMMON WALL BOTH TO THE RIGHT AND LEFT.  RESTAURANT IS LOCATED IN A ONE-STORY BUILDING.  FIRST FLOOR AT CURB LEVEL CONSISTS OF DINING AREA  BATHROOM  AND KITCHEN.  WITH FULL BASEMENT THAT WILL BE USED FOR STORAGE  FOOD PREP AND OFFICE SPACE.  ONE ENTRANCE ON CENTRE STREET.,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,26,MARATHON FOOD LLC,NULL,389,, Centre St,Jamaica Plain,MA,2130,"(0.0, 0.0)"
LB-99787,ARGUETAS CORPORATION,BOHEMIOS RESTAURANT,NONE,ON FIRST FLOOR  WITH KITCHEN IN REAR  DINING AREA IN FRONT  TWO BATHROOMS AND TWO EXITS  ONE EXIT ON BENNINGTON STREET AND ANOTHER EXIT IN THE REAR OF THE BUILDING LEADING TO THE PARKING LOT.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,2:00 AM,2:30 AM,31,ARGUETAS CORPORATION,NULL,30,,  Bennington ST,East Boston,MA,2128,"(42.37539, -71.038018)"
LB-143862, ,BON APPETIT RESTAURANT,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN REAR  STORAGE IN BASEMENT .,01/20/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWN,CV7MWN - Neighborhood Restricted,NULL,11:00 PM,11:30 PM,58,"BON APPETIT RESTAURANT, INC.",NULL,1138,,  Blue Hill AV,Dorchester,MA,2124,"(42.285777, -71.09125)"
LB-99478,"HOST INTERNATIONAL, INC.",BONFIRE,THE BOARD ACKNOWLEDGED AND GRANTED THE PETITION TOSERVE ALCOHOLAT 10:00 AM WITH BRUNCHON SUNDAYS.,SPACE BA-A13 IN TERMINAL B. PIER B AT LOGAN AIRPORT. AREA CONSISTS OF 3000 SQUARE FEET.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALA,CV7 All Alc. Airp.,NULL,2:00 AM,2:30 AM,114,"HOST INTERNATIONAL, INC.",NULL,,,  Logan Airport Terminal B  ,East Boston,MA,2128,"(0.0, 0.0)"
LB-99550,BOSTON & MAINE FISH COMPANY,BOSTON & MAINE FISH COMPANY,Glass mugs with name of premises on them.  11 PM closing. Roped off area only.,@ 200 Faneuil Hall Marketplace: in one room with kitchen area  and stock stored on premises.,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,23,BOSTON & MAINE FISH COMPANY,NULL,200,,  Faneuil Hall Marketplace  ,Boston,MA,2109,"(42.360199, -71.054798)"
LB-99587,"CAFE JAFFA, INC.",CAFE JAFFA,NONE,In one room first floor kitchen in the rear storage in the basement.,11/06/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,56,"CAFE JAFFA, INC.",NULL,48,,  Gloucester ST,Boston,MA,2115,"(42.348681, -71.084102)"
LB-99242,"BOSTON ATHLETIC CLUB, INC.",BOSTON ATHELETIC CLUB,ALCOHLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS: FROM - 11AM TO NOON. Request granted on 9/28/84,Unnumbered exits; in whole of said building.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,101,"BOSTON ATHLETIC CLUB, INC.",NULL,653,,  Summer ST,Boston,MA,2210,"(42.33981, -71.04354)"
LB-98876,"TASTES ON THE FLY BOSTON, LLC",BOSTON BEER WORKS,THE BOARD APPROVED A 10:00 AM OPENING HOUR.,IN ONE ROOM OF APPROXIMATELY 1080 SQ FT WITH A BAR  DINING AREA AND A SEPARATE KITCHEN AND STORAGE AREA IN TERMINAL C.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALA,CV7 All Alc. Airp.,NULL,2:00 AM,2:30 AM,60,"TASTES ON THE FLY BOSTON, LLC",NULL,,,  Logan Airport Terminal C  ,East Boston,MA,2128,"(0.0, 0.0)"
LB-98877,"TASTES ON THE FLY BOSTON, LLC",BOSTON BEER WORKS,THE BOARD APPROVED A 10:00 AM OPENING HOUR.,A 1900 SQ FT ONE ROOM WITH A BAR  KITCHEN AND A SEPARATE KITCHEN AND STORAGE AREA IN TERMINAL C  PIER B.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALA,CV7 All Alc. Airp.,NULL,2:00 AM,2:30 AM,180,"TASTES ON THE FLY BOSTON, LLC",NULL,,,  Logan Airport Terminal C  ,East Boston,MA,2128,"(0.0, 0.0)"
LB-99217,"SLESAR BROS. BREWING COMPANY, INC.",Boston Beer Works,NONE,In one (1) large room and kitchen and storage on first floor; entrance on Brookline Avenue with emergency exits to adjacent parking area.  Capacity breakdown per ISD: 220 seating; 200 standing.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,420,"SLESAR BROS. BREWING COMPANY, INC.",(617)719-6260,61,,  Brookline AV,Boston,MA,2215,"(42.347163, -71.099081)"
LB-133944,"FIRST BOSTON TEN PIN, INC.",Boston Bowl,NONE,In one room on the first floor; kitchen in the rear  storage  pizza patio inside of the bowling alley  boutique area with a bar and six stools.,12/11/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALN,CV7ALN - Neighborhood Restricted,NULL,1:00 a.m.,1:30 a.m.,250,"First Boston Tenpin, Inc.",(617)740-1403,820,,  William T Morrissey BLVD,Dorchester,MA,2125,"(42.29388, -71.04627)"
LB-99680,BEANTOWN BURGER COMPANY,BOSTON BURGER COMPANY,CAPACITY BREAKDOWN: 52 PERSONS AS FOLLOWS: 10- PERSONS BAR STOOLS; 42 - PERSONS TABLE & CHAIRS,A RESTAURANT LOCATED ON THE FIRST FLOOR OF THE BUILDING  WITH ONE MAIN ENTRANCE/EXIT AND KITCHEN AND STORAGE IN THE REAR AND BASEMENT.  WITH A SEASONAL OUTDOOR PATIO SEATING FOR 8 PATRONS LOCATED ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,1:00 AM,1:30 AM,52,BEANTOWN BURGER COMPANY,NULL,1100,,  Boylston ST,Boston,MA,2215,"(42.346842, -71.088506)"
LB-99428,"BOSTON URBAN HOSPITALITY, INC.",BOSTON CHOPS,THE BOARD GRANTED PERMISSION TO OPEN AND SERVE ALCOHOLIC BEVERAGES ON SUNDAYS AT 10:00 A.M. AS PART OF THEIR REGULAR BRUNCH SERVICE.,5160 SQUARE FEET IN 2 ROOMS ON GROUND FLOOR; FRONT ROOM FOR DINING AND BAR WITH KITCHEN IN BACK ROOM.  MAIN ENTRANCE AND EMERGENCY EXITS ON WASHINGTON STREET; AND INCLUDING SEASONAL OUTDOOR PATIO WITH 29 SEATS ON CITY SIDEWALK AREA BETWEEN THE HOURS OF 11:00 A.M. - 10:00 P.M. SUNDAY & MONDAY & 11:00,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,181,"BOSTON URBAN HOSPITALITY, INC.",NULL,1375,, Washington St,Roxbury,MA,2118,"(0.0, 0.0)"
LB-98912,"THE CLUB AT BOSTON COLLEGE, INC.",BOSTON COLLEGE CLUB,,IN ONE MAIN DINING ROOM  GRILL  BAR  LOUNGE AND SEVERAL PRIVATE DINING ROOMS  EACH OF WHICH IS LOCATED ON THE 36TH FLOOR; KITCHEN AND STORAGE IN CENTER OF FLOOR  WITH A 2:00 A.M. CLOSING,11/07/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,361,"THE CLUB AT BOSTON COLLEGE, INC.",NULL,100,,  Federal ST,Boston,MA,2110,"(42.35477, -71.05613)"
LB-101633,ROWES WHARF LIMITED PARTNERSHIP,BOSTON HARBOR HOTEL,1) OUTDOOR SERVICE AREA HOURS OF OPERATION ARE11:00 A.M.-MIDNIGHT. 2) 11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,IN THE WHOLE OF SAID BUILDING OF THE ATLANTIC AVENUE BUILDING AND THE OUTSIDE AREA TO THE REAR OF 30-70 ROWES WHARF TO THE WATER LINE WITH A 2:00 A.M. RESTRICTION AND AN AREA ON THE GROUND FLOOR OF THE CENTRAL WHARF BUILDING. INCLUDEs AN ANNUAL OUTDOOR SERVICE AREA ON THE SOUTH,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,ROWES WHARF LIMITED PARTNERSHIP,NULL,70,, Rowes Wh,Boston,MA,2110,"(0.0, 0.0)"
LB-98788,B.P.O.E. OF THE UNITED STATES OF AMERICA INC.,BOSTON LODGE OF ELKS #10,,Rear emergency exits; in whole of said building.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,400,B.P.O.E. OF THE UNITED STATES OF AMERICA INC.,NULL,1,,  Morrell ST,West Roxbury,MA,2132,"(42.27366, -71.1693)"
